id,name,recipe1,recipe2,recipe3,recipe4,recipe5,recipe6
1,Iron Pickaxe,672,,,,,
2,Dirt Block,348,,,,,
3,Stone Block,1395,,,,,
4,Iron Broadsword,665,,,,,
5,Mushroom,,,,,,
6,Iron Shortsword,673,,,,,
7,Iron Hammer,670,,,,,
8,Torch,1473,,,,,
9,Wood,1539,1540,,,,
10,Iron Axe,661,,,,,
11,Iron Ore,,,,,,
12,Copper Ore,,,,,,
13,Gold Ore,,,,,,
14,Silver Ore,,,,,,
15,Copper Watch,299,,,,,
16,Silver Watch,1246,,,,,
17,Gold Watch,551,,,,,
18,Depth Meter,,,,,,
19,Gold Bar,535,,,,,
20,Copper Bar,283,,,,,
21,Silver Bar,1230,,,,,
22,Iron Bar,662,663,,,,
23,Gel,,,,,,
24,Wooden Sword,1554,,,,,
25,Wooden Door,1551,,,,,
26,Stone Wall,1398,,,,,
27,Acorn,,,,,,
28,Lesser Healing Potion,716,,,,,
29,Life Crystal,,,,,,
30,Dirt Wall,349,,,,,
31,Bottle,155,,,,,
32,Wooden Table,1555,,,,,
33,Furnace,498,,,,,
34,Wooden Chair,1550,,,,,
35,Iron Anvil,674,,,,,
36,Work Bench,1556,,,,,
37,Goggles,533,,,,,
38,Lens,,,,,,
39,Wooden Bow,1549,,,,,
40,Wooden Arrow,1547,,,,,
41,Flaming Arrow,438,,,,,
42,Shuriken,,,,,,
43,Suspicious Looking Eye,1406,,,,,
44,Demon Bow,334,,,,,
45,War Axe of the Night,1523,,,,,
46,Light's Bane,719,,,,,
47,Unholy Arrow,1502,,,,,
48,Chest,230,231,,,,
49,Band of Regeneration,,,,,,
50,Magic Mirror,,,,,,
51,Jester's Arrow,681,,,,,
52,Angel Statue,,,,,,
53,Cloud in a Bottle,,,,,,
54,Hermes Boots,,,,,,
55,Enchanted Boomerang,,,,,,
56,Demonite Ore,,,,,,
57,Demonite Bar,336,,,,,
58,Heart,,,,,,
59,Corrupt Seeds,,,,,,
60,Vile Mushroom,,,,,,
61,Ebonstone Block,,,,,,
62,Grass Seeds,,,,,,
63,Sunflower,,,,,,
64,Vilethorn,,,,,,
65,Starfury,,,,,,
66,Purification Powder,,,,,,
67,Vile Powder,1508,,,,,
68,Rotten Chunk,,,,,,
69,Worm Tooth,,,,,,
70,Worm Food,1558,,,,,
71,Copper Coin,291,,,,,
72,Silver Coin,1239,1240,,,,
73,Gold Coin,543,544,,,,
74,Platinum Coin,1049,,,,,
75,Fallen Star,,,,,,
76,Copper Greaves,292,,,,,
77,Iron Greaves,669,,,,,
78,Silver Greaves,1241,,,,,
79,Gold Greaves,546,,,,,
80,Copper Chainmail,289,,,,,
81,Iron Chainmail,666,,,,,
82,Silver Chainmail,1237,,,,,
83,Gold Chainmail,541,,,,,
84,Grappling Hook,558,,,,,
85,Chain,227,228,,,,
86,Shadow Scale,,,,,,
87,Piggy Bank,,,,,,
88,Mining Helmet,,,,,,
89,Copper Helmet,294,,,,,
